OID_,CBG,PlusCode,DestinationID,Total_TravelTime,Total_Kilometers
165,470930008001,"W2W9+25 Knoxville, Tennessee",70,13.65508186,12.85096474
166,470930008001,"WXMM+6Q Knoxville, Tennessee",64,14.10919844,15.41527553
167,470930008001,"W2R8+Q4 Knoxville, Tennessee",71,14.38534364,12.11103454
168,470930008001,"W2Q8+V4 Knoxville, Tennessee",45,14.58855774,12.15347745
169,470930008001,"W2Q8+V4 Knoxville, Tennessee",66,14.58855774,12.15347745
170,470930008001,"WXMX+JJ Knoxville, Tennessee",52,14.79636582,15.09058307
171,470930008001,"W2P6+V5 Knoxville, Tennessee",48,14.96937037,12.65317462
172,470930008001,"23FC+W9 Knoxville, Tennessee",106,15.00989251,15.79814949
173,470930008001,"XXGQ+HH Knoxville, Tennessee",83,15.16678688,16.00023942
174,470930008001,"XXGQ+HH Knoxville, Tennessee",88,15.16678688,16.00023942
175,470930008001,"XXJM+8F Knoxville, Tennessee",87,15.56563607,16.47104428
176,470930008001,"269C+RP Knoxville, Tennessee",84,15.63453727,19.55987931
177,470930008001,"WXG4+7Q Knoxville, Tennessee",76,15.65881082,18.28894043
178,470930008001,"2XVW+RQ Powell, Tennessee",120,15.75059797,18.65698854
179,470930008001,"WXG3+VJ Knoxville, Tennessee",25,15.87220667,18.49544643
180,470930008001,"23M9+39 Knoxville, Tennessee",134,15.88092552,16.52336308
181,470930008001,"WWGP+FW Knoxville, Tennessee",108,15.89229509,19.58896885
182,470930008001,"2X5G+FG Knoxville, Tennessee",99,15.99463672,16.97087672
183,470930008001,"2X3G+JQ Knoxville, Tennessee",98,16.44707881,17.21655226
184,470930008001,"WXF2+93 Knoxville, Tennessee",23,16.45610568,18.92070605
185,470930008001,"WXC2+HQ Knoxville, Tennessee",68,16.47496467,19.01095079
186,470930008001,"WWFR+HR Knoxville, Tennessee",62,16.51254891,19.6166927
187,470930008001,"WXC2+W7 Knoxville, Tennessee",57,16.56355768,19.08509265
188,470930008001,"WXF9+C4 Knoxville, Tennessee",27,16.99013092,19.14130326
189,470930008001,"WWFP+5F Knoxville, Tennessee",24,17.06520288,20.40482209
190,470930008001,"WWC7+P3 Knoxville, Tennessee",59,17.17078446,21.89371662
191,470930008001,"WWCW+PW Knoxville, Tennessee",69,17.68408117,19.30311093
192,470930008001,"V6GG+R7 Seymour, Tennessee",47,18.10159525,17.72776738
193,470930008001,"V6GG+R7 Seymour, Tennessee",51,18.10159525,17.72776738
194,470930008001,"WW8F+RV Knoxville, Tennessee",56,18.21720929,21.40712324
195,470930008001,"2X93+55 Powell, Tennessee",102,18.62879961,19.75870135
196,470930008001,"WW76+C9 Knoxville, Tennessee",39,18.88492076,22.81979683
197,470930008001,"WW76+C9 Knoxville, Tennessee",40,18.88492076,22.81979683
198,470930008001,"2WCX+GC Powell, Tennessee",115,19.41410914,20.4200808
199,470930008001,"27QH+4X Strawberry Plains, Tennessee",95,19.73653962,25.35316395
200,470930008001,"WW65+22 Knoxville, Tennessee",26,20.19400144,23.65035821
201,470930008001,"V69V+HH Seymour, Tennessee",50,20.22809222,19.73085424
202,470930008001,"33CF+6R Knoxville, Tennessee",122,20.38645609,20.96217813
203,470930008001,"WW55+XV Knoxville, Tennessee",22,20.44831754,23.74362361
204,470930008001,"WV6V+M2 Knoxville, Tennessee",55,20.84655317,24.53006377
205,470930008001,"WWV4+3G Knoxville, Tennessee",72,21.05714645,24.48906216
206,470930008001,"WWV4+3G Knoxville, Tennessee",73,21.05714645,24.48906216
207,470930008001,"33JG+97 Knoxville, Tennessee",112,21.84090237,22.12778234
208,470930008001,"R324+P3 Maryville, Tennessee",30,21.86512061,20.27442288
209,470930008001,"33M8+P9 Knoxville, Tennessee",133,22.47129214,25.54000306
210,470930008001,"XWM3+8R Knoxville, Tennessee",86,22.60487514,24.09205178
211,470930008001,"3WJW+J8 Heiskell, Tennessee",113,22.70955521,25.6388477
212,470930008001,"WVXP+9V Knoxville, Tennessee",43,23.00065848,26.53560703
213,470930008001,"VVX2+XW Knoxville, Tennessee",36,23.4124143,29.29041713
214,470930008001,"VVX2+XW Knoxville, Tennessee",67,23.4124143,29.29041713
215,470930008001,"VRVH+9W Knoxville, Tennessee",13,23.46215049,31.04631161
216,470930008001,"VW7C+36 Knoxville, Tennessee",8,24.27858025,33.22973802
217,470930008001,"VW7C+36 Knoxville, Tennessee",19,24.27858025,33.22973802
218,470930008001,"Q3V3+PQ Maryville, Tennessee",38,24.55338866,29.36254096
219,470930008001,"47MP+W4 Blaine, Tennessee",116,24.62062051,31.68383242
220,470930008001,"VW6F+6C Knoxville, Tennessee",2,24.64745267,33.4161227
221,470930008001,"VRJV+58 Knoxville, Tennessee",7,25.23348876,31.12016672
222,470930008001,"VRJV+58 Knoxville, Tennessee",20,25.23348876,31.12016672
223,470930008001,"VW6J+V3 Knoxville, Tennessee",5,25.36758673,33.9556684
224,470930008001,"VW6J+V3 Knoxville, Tennessee",9,25.36758673,33.9556684
225,470930008001,"Q2F6+95 Alcoa, Tennessee",15,25.4254448,25.38645408
226,470930008001,"VRJM+8X Farragut, Tennessee",12,25.93252817,31.75795486
227,470930008001,"WRJ7+H8 Knoxville, Tennessee",58,26.36795549,33.41285623
228,470930008001,"Q2JX+88 Maryville, Tennessee",34,26.58694855,31.03972091
229,470930008001,"VRXX+X7 Knoxville, Tennessee",28,26.68022444,30.1317286
230,470930008001,"VRXX+X7 Knoxville, Tennessee",37,26.68022444,30.1317286
231,470930008001,"Q28G+Q8 Alcoa, Tennessee",31,26.78012207,31.85446321
232,470930008001,"XC75+G5 Kodak, Tennessee",89,26.8469142,39.30316319
233,470930008001,"VRFC+WR Knoxville, Tennessee",6,27.10175774,33.05369055
234,470930008001,"Q28H+2W Alcoa, Tennessee",139,27.17780777,32.20917631
235,470930008001,"Q27H+C9 Alcoa, Tennessee",32,27.18101566,32.21211673
236,470930008001,"Q26C+F9 Alcoa, Tennessee",33,27.49980723,32.31824428
237,470930008001,"P2R4+G7 Maryville, Tennessee",16,28.922356,34.32482656
238,470930008001,"P2P4+HF Maryville, Tennessee",17,29.78526415,35.26959426
239,470930008001,"Q342+JR Maryville, Tennessee",35,30.48465713,34.82024471
240,470930008001,"5WWH+HH Norris, Tennessee",110,30.50785931,39.14221923
241,470930008001,"3VR6+M3 Clinton, Tennessee",119,31.45581401,34.73635714
242,470930008001,"QVQX+Q4 Louisville, Tennessee",1,31.5409923,36.57010436
243,470930008001,"4C2W+G7 New Market, Tennessee",111,31.87848239,42.68450733
244,470930008001,"RP9J+MC Lenoir City, Tennessee",3,31.91559316,44.82271317
245,470930008001,"2Q33+M3 Oak Ridge, Tennessee",79,32.24659206,42.36819221
246,470930008001,"2Q33+M3 Oak Ridge, Tennessee",142,32.24659206,42.36819221
247,470930008001,"4V9M+4Q Clinton, Tennessee",141,33.23335821,41.66755611
248,470930008001,"RPCP+R5 Lenoir City, Tennessee",21,33.33219318,45.38213281
249,470930008001,"2P5W+GQ Oak Ridge, Tennessee",90,33.56158587,43.20585308
250,470930008001,"RP6P+MW Lenoir City, Tennessee",10,33.68936842,46.14111728
251,470930008001,"2H8F+VQ Dandridge, Tennessee",123,33.69940918,52.84307891
252,470930008001,"VCHG+Q5 Sevierville, Tennessee",93,33.71682773,47.7132005
253,470930008001,"2QCC+4X Oak Ridge, Tennessee",80,34.03795704,44.84423303
254,470930008001,"VCGG+MM Sevierville, Tennessee",94,34.19112965,48.02492818
255,470930008001,"VCGG+MJ Sevierville, Tennessee",118,34.19112965,48.02492818
256,470930008001,"2Q82+QV Oak Ridge, Tennessee",78,34.34431328,44.65310964
257,470930008001,"2Q82+QV Oak Ridge, Tennessee",127,34.34431328,44.65310964
258,470930008001,"2P7J+5R Oak Ridge, Tennessee",85,34.52814459,44.51367227
259,470930008001,"2P7J+5R Oak Ridge, Tennessee",97,34.52814459,44.51367227
260,470930008001,"RP2P+RV Lenoir City, Tennessee",11,34.74607678,46.9189943
261,470930008001,"2QH5+HQ Oak Ridge, Tennessee",105,35.70389626,45.38889737
262,470930008001,"QPXW+J6 Lenoir City, Tennessee",4,35.87344582,48.96822811
263,470930008001,"4G87+V3 Jefferson City, Tennessee",135,37.82526622,48.78578535
264,470930008001,"4G99+Q5 Jefferson City, Tennessee",132,38.13571918,49.13408608
265,470930008001,"4G98+FH Jefferson City, Tennessee",117,38.21397811,49.20916965
266,470930008001,"QPVQ+88 Lenoir City, Tennessee",14,38.54290148,49.29560831
267,470930008001,"QPPH+XM Lenoir City, Tennessee",29,38.69623867,49.41031077
268,470930008001,"VF72+93 Sevierville, Tennessee",96,39.91794334,51.18427509
269,470930008001,"PJ9J+7H Loudon, Tennessee",131,40.37320357,61.48296727
270,470930008001,"7634+6M Maynardville, Tennessee",138,40.49236687,47.004384
271,470930008001,"2MP9+HM Oliver Springs, Tennessee",92,40.69593583,51.1100152
272,470930008001,"VGP3+78 Kingston, Tennessee",124,41.18906607,63.84486783
273,470930008001,"PJCV+PG Loudon, Tennessee",128,41.79819703,62.86301391
274,470930008001,"8RPG+XG Jacksboro, Tennessee",136,42.40560853,60.98521172
275,470930008001,"8RWR+WH LaFollette, Tennessee",126,43.47489307,62.04700757
276,470930008001,"VCRX+RP Harriman, Tennessee",81,44.09940598,67.40908783
277,470930008001,"9R3V+3C LaFollette, Tennessee",140,44.46044355,62.96726946
278,470930008001,"9V87+JP LaFollette, Tennessee",121,46.64772893,65.26543131
279,470930008001,"VGJQ+PQ Sevierville, Tennessee",114,47.28877816,59.48300695
280,470930008001,"RC3F+2F Pigeon Forge, Tennessee",125,47.37601184,56.58887946
281,470930008001,"9VJM+VG LaFollette, Tennessee",129,49.88896789,68.0190512
282,470930008001,"MP76+2C Loudon, Tennessee",18,50.94352923,74.44138373
283,470930008001,"QCMX+MP Pigeon Forge, Tennessee",130,51.33317637,61.68418196
284,470930008001,"QFG4+V6 Pigeon Forge, Tennessee",137,52.01849472,62.18811588
285,470930008002,"W3MV+W7 Knoxville, Tennessee",41,5.23470752,4.046971845
286,470930008002,"W3MV+39 Knoxville, Tennessee",53,6.152187526,4.353070439
287,470930008002,"W3MV+39 Knoxville, Tennessee",63,6.152187526,4.353070439
288,470930008002,"X3HV+HG Knoxville, Tennessee",60,6.587772719,4.296792986
289,470930008002,"X3JC+HQ Knoxville, Tennessee",74,8.259400148,7.628402079
290,470930008002,"X384+FG Knoxville, Tennessee",65,8.385500402,7.867970836
291,470930008002,"X3RH+94 Knoxville, Tennessee",91,8.879491602,6.356266011
292,470930008002,"X3VH+69 Knoxville, Tennessee",75,9.497543992,6.704708851
293,470930008002,"W3X6+X5 Knoxville, Tennessee",49,9.79629004,6.252407326
294,470930008002,"X4XF+C6 Knoxville, Tennessee",82,10.32642155,11.54655622
295,470930008002,"243P+M4 Knoxville, Tennessee",77,11.24120043,12.71645603
296,470930008002,"223F+WV Knoxville, Tennessee",101,11.35585989,12.34655968
297,470930008002,"24MJ+RQ Knoxville, Tennessee",104,11.94981342,14.53908614
298,470930008002,"228J+54 Knoxville, Tennessee",100,12.27393643,12.90679537
299,470930008002,"W2RC+PJ Knoxville, Tennessee",46,12.45779358,9.455975235
300,470930008002,"236G+RW Knoxville, Tennessee",109,12.54408599,8.938765046
301,470930008002,"24PJ+H8 Knoxville, Tennessee",103,12.6098073,14.69471102
302,470930008002,"W536+GW Knoxville, Tennessee",44,12.65928495,11.61047642
303,470930008002,"V3Q7+MM Knoxville, Tennessee",54,12.86773709,10.70389459
304,470930008002,"238H+38 Knoxville, Tennessee",107,13.09760867,14.59793714
305,470930008002,"W564+JF Knoxville, Tennessee",42,13.32261675,11.01045101
306,470930008002,"W564+JF Knoxville, Tennessee",61,13.32261675,11.01045101
307,470930008002,"W2W9+25 Knoxville, Tennessee",70,13.33028519,12.57866118
308,470930008002,"W2R8+Q4 Knoxville, Tennessee",71,13.62211445,10.11066409
309,470930008002,"WXMM+6Q Knoxville, Tennessee",64,13.78440177,15.14297198
310,470930008002,"W2Q8+V4 Knoxville, Tennessee",45,13.82532855,10.153107
311,470930008002,"W2Q8+V4 Knoxville, Tennessee",66,13.82532855,10.153107
312,470930008002,"W2P6+V5 Knoxville, Tennessee",48,14.20614118,10.65280417
313,470930008002,"WXMX+JJ Knoxville, Tennessee",52,14.47156915,14.81827952
314,470930008002,"23FC+W9 Knoxville, Tennessee",106,14.68509585,15.52584594
315,470930008002,"XXGQ+HH Knoxville, Tennessee",83,14.84199022,15.72793587
316,470930008002,"XXGQ+HH Knoxville, Tennessee",88,14.84199022,15.72793587
317,470930008002,"XXJM+8F Knoxville, Tennessee",87,15.24083941,16.19874072
318,470930008002,"269C+RP Knoxville, Tennessee",84,15.30974061,19.28757575
319,470930008002,"WXG4+7Q Knoxville, Tennessee",76,15.33401416,18.01663688
320,470930008002,"2XVW+RQ Powell, Tennessee",120,15.42580131,18.38468499
321,470930008002,"WXG3+VJ Knoxville, Tennessee",25,15.54741001,18.22314287
